geoid,name,B19013001,"B19013001, Error"
16000US3651000,"New York, NY",79713,602
86000US07002,"07002",81285,4763
86000US07008,"07008",87712,10024
86000US07020,"07020",137847,30960
86000US07024,"07024",105594,5149
86000US07030,"07030",176943,7527
86000US07036,"07036",89942,3919
86000US07047,"07047",75505,6161
86000US07064,"07064",143194,12197
86000US07077,"07077",106926,14437
86000US07086,"07086",122653,23370
86000US07093,"07093",70389,5255
86000US07202,"07202",68071,4769
86000US07206,"07206",60992,12209
86000US07302,"07302",166854,10762
86000US07305,"07305",77126,5022
86000US07310,"07310",172946,30311
86000US07311,"07311",179928,16657
86000US07620,"07620",250001,
86000US07632,"07632",222192,17380
86000US07670,"07670",208088,21794
86000US08861,"08861",60464,6022
86000US10001,"10001",123393,22852
86000US10002,"10002",46525,5561
86000US10003,"10003",153750,11191
86000US10004,"10004",220592,53147
86000US10005,"10005",211810,29291
86000US10006,"10006",209972,43452
86000US10007,"10007",250001,
86000US10009,"10009",87963,9219
86000US10010,"10010",156127,11635
86000US10011,"10011",146571,13827
86000US10012,"10012",130938,16044
86000US10013,"10013",159474,34293
86000US10014,"10014",167254,11392
86000US10016,"10016",153065,17848
86000US10017,"10017",132518,24007
86000US10018,"10018",133042,30991
86000US10019,"10019",121835,16472
86000US10020,"10020",,
86000US10021,"10021",156712,18139
86000US10022,"10022",171038,21200
86000US10023,"10023",157866,17751
86000US10024,"10024",182614,10776
86000US10025,"10025",109195,7981
86000US10026,"10026",74140,6817
86000US10027,"10027",64220,5357
86000US10028,"10028",168125,27219
86000US10029,"10029",38308,5058
86000US10030,"10030",42738,7344
86000US10031,"10031",65067,5780
86000US10032,"10032",56588,5131
86000US10033,"10033",75585,4795
86000US10034,"10034",69786,9328
86000US10035,"10035",40556,6699
86000US10036,"10036",100225,13285
86000US10037,"10037",51250,14558
86000US10038,"10038",115121,27456
86000US10039,"10039",48792,12148
86000US10040,"10040",64022,7473
86000US10044,"10044",106146,29688
86000US10065,"10065",160938,16422
86000US10069,"10069",226151,70509
86000US10075,"10075",146556,28536
86000US10103,"10103",,
86000US10110,"10110",,
86000US10111,"10111",,
86000US10112,"10112",,
86000US10115,"10115",,
86000US10119,"10119",,
86000US10128,"10128",148705,7649
86000US10152,"10152",,
86000US10153,"10153",,
86000US10154,"10154",,
86000US10162,"10162",110349,65823
86000US10165,"10165",,
86000US10167,"10167",,
86000US10168,"10168",,
86000US10169,"10169",,
86000US10170,"10170",,
86000US10171,"10171",,
86000US10172,"10172",,
86000US10173,"10173",,
86000US10174,"10174",,
86000US10177,"10177",,
86000US10199,"10199",,
86000US10271,"10271",,
86000US10278,"10278",,
86000US10279,"10279",250001,
86000US10280,"10280",206250,81683
86000US10282,"10282",250001,
86000US10301,"10301",84937,6867
86000US10302,"10302",76089,11899
86000US10303,"10303",79429,6375
86000US10304,"10304",71506,7356
86000US10305,"10305",86294,4463
86000US10306,"10306",97746,9279
86000US10307,"10307",138807,19123
86000US10308,"10308",122654,16223
86000US10309,"10309",123638,19422
86000US10310,"10310",106118,14281
86000US10311,"10311",,
86000US10312,"10312",111434,4805
86000US10314,"10314",104655,5348
86000US10451,"10451",37111,4573
86000US10452,"10452",37854,3385
86000US10453,"10453",35482,3085
86000US10454,"10454",27500,4278
86000US10455,"10455",36701,1709
86000US10456,"10456",35676,3575
86000US10457,"10457",44911,4433
86000US10458,"10458",42107,2257
86000US10459,"10459",39276,5352
86000US10460,"10460",36067,4274
86000US10461,"10461",65023,3928
86000US10462,"10462",63460,3434
86000US10463,"10463",72952,2710
86000US10464,"10464",100306,45037
86000US10465,"10465",90255,7111
86000US10466,"10466",66328,7672
86000US10467,"10467",47806,2533
86000US10468,"10468",46624,3636
86000US10469,"10469",76018,4576
86000US10470,"10470",81134,9832
86000US10471,"10471",108738,11977
86000US10472,"10472",43125,3106
86000US10473,"10473",50609,5426
86000US10474,"10474",41279,4909
86000US10475,"10475",62383,7059
86000US10550,"10550",56903,9526
86000US10704,"10704",110097,7815
86000US10705,"10705",68616,7268
86000US10803,"10803",212288,21186
86000US10805,"10805",89964,15357
86000US11001,"11001",144755,13454
86000US11003,"11003",123000,9308
86000US11004,"11004",109865,11431
86000US11005,"11005",91719,38342
86000US11020,"11020",169265,33194
86000US11021,"11021",122390,14209
86000US11040,"11040",153511,10642
86000US11042,"11042",,
86000US11096,"11096",88160,17203
86000US11101,"11101",116807,9529
86000US11102,"11102",102996,10079
86000US11103,"11103",92787,7094
86000US11104,"11104",84716,8492
86000US11105,"11105",100306,6839
86000US11106,"11106",85573,9809
86000US11109,"11109",198773,39233
86000US11201,"11201",169285,9025
86000US11203,"11203",68028,4368
86000US11204,"11204",67588,4442
86000US11205,"11205",86753,11764
86000US11206,"11206",57280,6828
86000US11207,"11207",55419,4258
86000US11208,"11208",59988,2967
86000US11209,"11209",92656,5362
86000US11210,"11210",83261,6485
86000US11211,"11211",105183,7879
86000US11212,"11212",40060,3562
86000US11213,"11213",62040,4888
86000US11214,"11214",64286,2867
86000US11215,"11215",180773,8652
86000US11216,"11216",95000,6237
86000US11217,"11217",158314,11672
86000US11218,"11218",95916,5274
86000US11219,"11219",55685,5224
86000US11220,"11220",64201,3626
86000US11221,"11221",85122,4626
86000US11222,"11222",123963,8178
86000US11223,"11223",63950,5364
86000US11224,"11224",41449,3942
86000US11225,"11225",85201,6326
86000US11226,"11226",81084,4067
86000US11228,"11228",80737,7806
86000US11229,"11229",72556,4269
86000US11230,"11230",69522,3821
86000US11231,"11231",138485,10422
86000US11232,"11232",87517,6231
86000US11233,"11233",62034,5849
86000US11234,"11234",94434,3565
86000US11235,"11235",61689,3210
86000US11236,"11236",82813,2976
86000US11237,"11237",82570,6311
86000US11238,"11238",132957,9879
86000US11239,"11239",35675,4121
86000US11249,"11249",121400,8968
86000US11354,"11354",62833,5551
86000US11355,"11355",53700,1747
86000US11356,"11356",91445,10151
86000US11357,"11357",97754,12288
86000US11358,"11358",88729,7078
86000US11359,"11359",,
86000US11360,"11360",100250,11455
86000US11361,"11361",108391,8824
86000US11362,"11362",118989,10504
86000US11363,"11363",110833,24557
86000US11364,"11364",101222,11444
86000US11365,"11365",85375,7427
86000US11366,"11366",117402,20151
86000US11367,"11367",75804,9172
86000US11368,"11368",71798,3200
86000US11369,"11369",80577,6079
86000US11370,"11370",74895,8791
86000US11371,"11371",,
86000US11372,"11372",77133,6110
86000US11373,"11373",71470,3090
86000US11374,"11374",86333,8156
86000US11375,"11375",104319,6763
86000US11377,"11377",73292,5001
86000US11378,"11378",84762,5483
86000US11379,"11379",92509,7046
86000US11385,"11385",87365,3960
86000US11411,"11411",118393,8243
86000US11412,"11412",98418,6630
86000US11413,"11413",114766,6381
86000US11414,"11414",98209,8729
86000US11415,"11415",88632,6827
86000US11416,"11416",85544,7664
86000US11417,"11417",86330,6812
86000US11418,"11418",84927,9438
86000US11419,"11419",91231,6990
86000US11420,"11420",98584,3879
86000US11421,"11421",89439,7660
86000US11422,"11422",108519,5576
86000US11423,"11423",80870,10656
86000US11424,"11424",,
86000US11426,"11426",107591,14024
86000US11427,"11427",92129,8688
86000US11428,"11428",84977,14915
86000US11429,"11429",98232,10331
86000US11430,"11430",,
86000US11432,"11432",75395,5405
86000US11433,"11433",71177,7547
86000US11434,"11434",76668,4675
86000US11435,"11435",79430,3707
86000US11436,"11436",86104,7522
86000US11439,"11439",,
86000US11451,"11451",,
86000US11509,"11509",162500,8122
86000US11559,"11559",156429,41261
86000US11580,"11580",135385,14113
86000US11581,"11581",138821,7480
86000US11691,"11691",57027,6034
86000US11692,"11692",49507,7136
86000US11693,"11693",67829,19053
86000US11694,"11694",103792,11215
86000US11697,"11697",134844,31149
